timestamp,handshake_num,status,handshake_cycles
1776275550,1,success,4157802
1776275551,2,success,4532517
1776275552,3,success,5989368
1776275553,4,success,4511727
1776275554,5,success,4901457
1776275555,6,success,3416787
1776275556,7,success,5675736
1776275557,8,success,3482160
1776275558,9,success,6373290
1776275559,10,success,5234559
1776275560,11,success,5464272
1776275561,12,success,7330686
1776275562,13,success,3113913
1776275563,14,success,5142192
1776275564,15,success,6733122
1776275565,16,success,5469816
1776275566,17,success,38131533
1776275567,18,success,33366696
1776275568,19,success,28019772
1776275569,20,success,28124448
1776275570,21,success,3610530
1776275571,22,success,41214987
1776275572,23,success,15721233
1776275573,24,success,5885715
1776275574,25,success,46625106
1776275575,26,success,7583598
1776275576,27,success,14061201
1776275577,28,success,31998516
1776275578,29,success,44952227
1776275579,30,success,35290800
1776275581,31,success,28296378
1776275582,32,success,2573307
1776275583,33,success,5694216
1776275584,34,success,4994220
1776275585,35,success,4884957
1776275586,36,success,6783051
1776275587,37,success,5445297
1776275588,38,success,4983033
1776275589,39,success,4590135
1776275590,40,success,4187172
1776275591,41,success,4013427
1776275592,42,success,3276504
1776275593,43,success,4847139
1776275594,44,success,6400911
1776275595,45,success,5433054
1776275596,46,success,3831333
