timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1776276028,0,0,0,0,0
1776276029,0,0,0,0,0
1776276030,1,0,1,0,4284852
1776276031,2,0,2,0,5793150
1776276032,3,0,3,0,5559180
1776276033,4,0,4,0,5788860
1776276034,5,0,5,0,5938805
1776276035,6,0,6,0,5536140
1776276036,7,0,7,0,5806123
1776276037,8,0,8,0,5668570
1776276038,9,0,9,0,5400039
1776276039,10,0,10,0,5372772
1776276040,11,0,11,0,5500491
1776276041,12,0,12,0,5451132
1776276042,13,0,13,0,5524332
1776276043,14,0,14,0,5467428
1776276044,15,0,15,0,5520842
1776276045,16,0,16,0,5489453
1776276046,3431,46,3385,0,34160611
1776276047,6920,53,6867,0,34511947
1776276048,10321,31,10291,0,35467924
1776276049,13922,52,13870,0,35003342
1776276050,17469,39,17430,0,34875567
1776276052,21004,36,20968,0,34496984
1776276053,24552,56,24496,0,34215489
1776276054,28048,40,28008,0,34319011
1776276055,31539,47,31492,0,34223178
1776276056,35044,27,35017,0,34152800
1776276057,38559,55,38505,0,34289282
1776276058,42035,36,41999,0,34356472
1776276059,45484,59,45425,0,34379993
1776276060,48959,25,48934,0,34764486
1776276061,52434,20,52414,0,34838730
1776276062,52652,0,52603,49,34828877
1776276063,52653,0,52604,49,34828335
1776276064,52654,0,52605,49,34827774
1776276065,52655,0,52606,49,34827237
1776276066,52656,0,52607,49,34826716
1776276067,52657,0,52608,49,34826133
1776276068,52658,0,52609,49,34825552
1776276069,52659,0,52610,49,34824997
1776276070,52660,0,52611,49,34824452
1776276071,52661,0,52612,49,34823913
1776276072,52662,0,52613,49,34823380
1776276073,52663,0,52614,49,34822855
1776276074,52664,0,52615,49,34822270
1776276075,52665,0,52616,49,34821733
1776276076,52666,0,52617,49,34821178
1776276077,52666,0,52617,49,34821178
